"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
1989,8,26,16,5,47,-4.81,-37.97,5,CE,0,3.8,1,I,-,,"Palhano      (IAG,UnB)"
1989,8,28,8,6,26,-4.81,-37.97,5,CE,0,3.9,1,I,-,,"Palhano      (IAG,UFRN,UnB)"
1989,10,17,10,45,59,-4.81,-37.97,5,CE,0,3.6,1,I,-,,"Palhano      (IAG,UFRN,UnB)"
1989,10,17,15,2,48,-4.81,-37.97,5,CE,0,4.2,1,I,-,,"Palhano      (IAG,UFRN)"
1989,10,17,15,8,26,-4.81,-37.97,5,CE,0,3.5,1,I,-,,"Palhano      (IAG,UFRN)"
1989,11,26,11,21,26,-0.24,-49.86,20,PA,0,4.0,1,I,4-Mar,,"Chaves       (UnB,IAG,J.Est.S.Paulo)"
1990,1,19,22,5,15,-19.95,-47.16,10,MG,0,4.2,1,B,6-May,5,"Sacramento   (IPT,UnB,IAG,ON,UNESP)"
1990,2,12,23,56,39,-31.19,-48.92,30,RS,13,5.2,2,I,-,,"Margem Cont. (GS mb=5,5,IAG,UnB, IPT,UNESP)P.Alegre(IIMM)"
1990,8,21,5,12,41,-11.79,-48.27,30,TO,0,3.5,1,I,5,,"Natividade   (UnB, IAG, UNESP)"
1990,8,21,5,41,52,-11.91,-48.25,30,TO,0,3.6,1,I,5,3.8,"Natividade   (UnB, IAG, UNESP)"
1990,9,8,2,58,11,-7.51,-73.28,50,AC,10,4.0,5,I,-,,Cruzeiro Sul (GS)
1990,9,24,15,25,18,-5.65,-35.85,5,RN,3,3.7,1,I,5,,"Joao Camara  UFRN, IAG)"
1991,4,19,10,12,47,-3.93,-39.87,5,CE,9,4.9,2,I,7-Jun,200,"Taperuaba    (GS mb=4.8;UnB,UFRN,IAG,UNESP,IPT)"
1991,4,26,14,14,29,-5.46,-35.69,10,RN,0,3.5,1,I,-,,"Joao Camara  (UFRN,IAG,UnB)"
1992,1,28,16,5,38,-20.99,-39.67,70,ES,0,3.6,1,I,-,,"Margem Cont. (IAG,IPT,UnB)"
1992,2,1,17,24,30,-26.91,-44.42,70,PR,0,3.7,1,I,-,,"Margem Cont. (IAG,IPT)"
1992,3,2,6,6,37,-20.01,-47.27,20,MG,0,3.6,1,I,4,,"Sacramento   (IAG,UnB,IPT,UNESP)"
1992,4,24,3,9,30,-26.85,-45.76,50,SC,0,3.7,1,I,-,,"Margem Cont. (UnB,IPT,IAG,UNESP)"
1992,4,24,3,31,31,-26.77,-45.81,50,SC,0,3.9,1,I,-,,"Margem Cont. (UnB,IPT,IAG,UNESP)"
1992,6,9,22,22,24,-21.22,-43.84,10,MG,0,3.7,1,I,5,,"Barbacena    (IAG,IPT,UnB)"
1992,6,16,2,50,38,1.53,-41.57,30,PI,0,4.7,2,I,-,,"Margem Cont. (h=33N GS,UFRN,IAG,UnB)"
1993,5,21,10,32,12,-23.91,-43.00,20,SP,0,3.6,1,I,-,,"Margem Cont. (IPT,IAG,UnB,UNESP,COPEL"
1993,7,12,8,29,1,-14.79,-51.03,10,GO,0,4.1,1,I,5,39,"Aruana       (UnB,IAG,IPT,UFRN,COPEL)"
1993,9,25,20,27,27,-10.49,-37.07,10,SE,0,3.5,1,I,5,,"Capela       (UFRN,IAG,UnB)"
1993,9,27,3,56,6,-10.49,-37.07,10,SE,0,3.5,1,I,6-May,,"Capela       (UFRN,IAG,UnB)"
1993,11,18,15,22,46,-5.30,-50.43,80,PA,0,3.9,1,I,-,,"SerraCarajas (UnB,IAG,UFRN)"
1993,12,27,22,48,11,-20.32,-44.47,5,MG,4,3.6,1,I,5,,"Itaguara     (IAG,UnB,IPT) varios"
1994,8,11,7,23,34,-4.41,-38.29,2,CE,4,3.5,1,I,-,,"Cascavel     (UFRN,IAG,UnB)"
1994,8,12,6,20,9,-3.70,-31.00,300,RN,0,3.5,1,I,-,,"F.Noronha?   (UFRN,UnB,IAG)"
1994,9,11,1,41,22,-5.46,-35.69,10,RN,0,3.5,1,I,-,,"Joao Camara  (UFRN,IAG,UnB)"
1995,2,9,22,17,22,-12.47,-54.20,80,MT,0,3.7,1,I,-,,Consul       (UnB)
1995,4,21,8,51,27,-19.14,-47.67,5,MG,0,3.5,1,I,3,,"Nova Ponte   (UnB,IPT,IAG)"
1995,4,22,16,50,50,-4.41,-38.29,2,CE,4,3.5,1,I,-,,"Cascavel     (UFRN,UnB,IAG)"
1995,8,27,20,8,35,-16.67,-43.94,10,MG,0,3.7,1,I,6,,"MontesClaros (IAG,UnB,IPT)"
1996,3,12,10,18,36,-28.43,-34.66,50,-,0,4.6,0,I,-,,Atlantico S  (ISC)
1996,3,13,5,5,58,-15.61,-51.87,4,MT,0,3.6,1,I,-,,"Araguaiana   (UnB,IPT,IAG)"
1996,10,18,21,44,1,-21.04,-46.74,5,MG,0,4.0,1,I,5,11,"Jacui        (UnB,IAG,IPT)"
1996,10,26,20,30,17,-22.71,-40.50,30,RJ,0,4.0,1,I,-,,"Margem Cont. (IAG,UnB,IPT)"
1996,11,26,4,14,24,-11.39,-56.80,30,MT,0,4.2,2,I,4-Mar,,"Tabapora     (UnB,IAG,IPT,IDC: mb=4.0)"
1996,12,10,17,44,18,-15.61,-51.87,4,MT,0,3.5,1,I,-,,"Araguaiana   (UnB,IAG)"
1997,5,27,20,7,34,-13.52,-49.50,10,GO,0,3.5,1,I,-,,Porangatu    (UnB)
1997,9,19,22,3,22,-4.41,-38.29,2,CE,0,3.6,1,I,-,,"Cascavel     (UFRN,UnB,IAG)"
1997,11,17,17,27,1,-20.75,-45.75,5,MG,0,3.5,1,I,6-May,1.3,"Guapeh       (UnB,IAG) forte Volta Grande, Faz.Monteiros"
1998,2,16,7,37,29,-17.91,-56.70,50,MS,0,3.5,1,I,-,,Paiaguas     (UnB)
1998,3,2,6,26,51,-3.86,-49.63,20,PA,0,3.5,0,I,5-Apr,,"Tucurui      (UnB,IDC, ISC)"
1998,3,10,23,32,44,-11.62,-56.77,5,MT,4,5.2,2,I,6-May,26,"Pto.Gauchos  (UnB,IAG,IPT,UNESP-PP,ISC:Ms=4.6)Cuiabá I-II"
1998,3,14,23,23,0,-11.60,-56.79,5,MT,4,3.7,1,I,-,,Pto.Gauchos  (UnB)
1998,3,22,5,24,35,-11.59,-56.78,5,MT,4,3.7,1,I,-,,Pto.Gauchos  (UnB)
1998,3,22,5,26,50,-11.60,-56.80,5,MT,4,3.8,1,I,-,,Pto.Gauchos  (UnB)
1998,4,11,17,24,53,-11.02,-48.48,50,TO,0,3.9,0,I,-,,Pto.Nacional (ISC)
1998,4,12,4,9,36,4.80,-47.72,30,AP,47,5.3,0,I,-,,"Margem Cont. (IAG,UnB,IDC)"
1998,5,6,14,45,59,-11.60,-56.80,10,MT,0,3.6,1,I,-,,Pto.Gauchos  (UnB)
1998,5,7,14,0,8,-7.50,-73.64,80,AC,0,3.7,1,I,-,,Acampamento  (UnB)
1998,5,12,14,29,51,-11.60,-56.80,10,MT,0,3.6,1,I,-,,Pto.Gauchos  (UnB)
1998,5,15,19,3,0,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,5,22,17,33,4,-19.17,-47.60,2,MG,0,4.1,2,I,6,,"Nova Ponte   (UnB,IAG,IPT,UNESP,ISC)"
1998,5,30,9,57,45,-19.15,-55.97,40,MS,0,3.6,1,I,-,,"Paiaguas     (UnB,IPT,IAG)"
1998,6,4,0,40,46,-4.41,-38.29,2,CE,0,4.0,1,I,-,,"Cascavel     (UFRN,UnB,IAG) Fortaleza II MM"
1998,7,19,0,32,59,-11.61,-56.78,10,MT,0,3.8,1,I,-,,Pto.Gauchos  (UnB)
1998,7,21,22,22,59,-11.59,-56.78,10,MT,0,4.1,1,I,-,,"Pto.Gauchos  (UnB,IAG)"
1998,7,23,16,32,24,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,7,25,0,50,42,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,7,30,15,56,21,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,8,26,15,9,43,-19.09,-42.96,50,MG,0,3.8,1,I,-,,Capelinha    (UnB)
1998,9,20,23,44,31,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,9,24,3,48,48,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,9,24,6,13,32,-11.60,-56.80,10,MT,0,3.7,1,I,-,,Pto.Gauchos  (UnB)
1998,10,9,8,3,13,-8.73,-54.57,50,PA,0,3.5,1,I,-,,S. Cachimbo  (UnB)
1998,10,9,8,8,4,-11.60,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
1998,11,11,19,10,57,-11.61,-56.79,10,MT,0,3.7,1,I,-,,Pto.Gauchos  (UnB)
1999,3,15,5,13,32,-0.22,-63.79,30,AM,22,4.0,0,I,-,,"SGCachoeira  (ISC,UnB:mb=4.4)"
1999,3,18,9,31,28,-11.60,-56.79,10,MT,2,3.7,1,I,-,,Pto.Gauchos   (UnB)
1999,4,1,17,18,44,-11.59,-56.78,10,MT,2,3.7,1,I,-,,Pto. Gauchos  (UnB)
1999,5,7,20,38,58,-11.62,-56.78,10,MT,2,3.7,1,I,-,,Pto. Gauchos  (UnB)
1999,6,25,19,52,7,-24.51,-40.78,50,RJ,0,3.6,1,I,-,,"Margem Cont. (IAG,UnB)"
1999,8,18,4,43,58,-13.30,-49.20,80,GO,0,3.5,1,I,-,,"Porangatu    (UnB,IAG)"
1999,10,1,18,2,45,-11.62,-56.79,10,MT,2,3.5,1,I,-,,Pto. Gauchos (UnB)
1999,10,24,19,13,42,-16.46,-44.09,50,MG,0,3.5,1,I,-,,"Mtes.Claros  (IAG,UnB)"
1999,11,12,7,42,6,-11.68,-56.80,10,MT,0,3.5,1,I,-,,Pto.Gauchos  (UnB)
2000,4,28,3,15,8,-26.83,-56.35,50,-,0,3.9,1,I,-,,"Paraguay     (UnB,IAG)"
2000,5,2,14,5,0,-16.03,-56.53,30,MT,0,3.7,3,C,5,2.8,"Cangas       (IAG,UnB)"
2000,6,29,2,2,18,-4.41,-38.29,2,CE,0,3.5,1,I,-,,Cascavel     (UnB)
2000,7,4,4,54,47,-4.45,-38.33,5,CE,0,4.1,1,I,5-Apr,,"Pitombeiras  (UnB,UFRN)"
2000,11,20,9,36,33,-16.01,-47.79,10,DF,0,4.2,1,I,6,7.8,"S.Sebastiao  (UnB,IAG,IPT,UFRN)"
2000,11,21,21,58,13,-11.50,-56.80,10,MT,0,3.5,1,I,-,,P.Gauchos    (UnB)
2000,12,24,5,16,10,-11.50,-56.80,10,MT,0,3.5,1,I,-,,"P.Gauchos    (UnB,IAG)"
2001,2,26,20,42,0,-4.41,-38.29,2,CE,0,3.7,1,I,-,,"Cascavel     (IAG,UnB) (IAG3.5,UnB3.8)"
2001,5,9,0,38,12,-9.89,-72.47,30,-,22,3.7,0,I,-,,Peru          (ISC)
2001,5,27,9,50,0,-1.30,-60.50,0,AM,0,3.7,1,I,-,,Balbina      (UnB)
2001,8,24,19,56,18,-21.93,-40.37,30,RJ,0,3.9,1,I,-,,"Margem Cont. (IAG,UnB) (IAG3.3-UnB4.4)"
2002,4,20,5,21,55,1.37,-34.95,50,-,0,4.1,0,I,-,,"Atlantico C. (ISC, Ms=3.2)"
2002,6,4,23,27,12,-25.03,-45.83,20,SP,0,3.7,1,I,-,,"Margem Cont. (IAG,UnB)"
